jlpt,kanji,kana,english
n3,,しゃべる,to talk;to chat;to chatter
n3,邪魔,じゃま,hindrance;intrusion
n3,週,しゅう,week
n3,州,しゅう,sandbank
n3,十,じゅう,10;ten
n3,銃,じゅう,gun
n3,周囲,しゅうい,surroundings;circumference;environs
n3,収穫,しゅうかく,harvest;crop;ingathering
n3,週間,しゅうかん,week;weekly
n3,宗教,しゅうきょう,religion
n3,重視,じゅうし,importance;stress;serious consideration
n3,就職,しゅうしょく,finding employment;inauguration
n3,,ジュース,juice;soft drink;deuce
n3,修正,しゅうせい,amendment;correction;revision;modification
n3,渋滞,じゅうたい,congestion (e.g. traffic);delay;stagnation
n3,重大,じゅうだい,serious;important;grave;weighty
n3,住宅,じゅうたく,resident;housing
n3,集団,しゅうだん,group;mass
n3,集中,しゅうちゅう,concentration;focusing the mind
n3,収入,しゅうにゅう,income;receipts;revenue
n3,住民,じゅうみん,citizens;inhabitants;residents;population
n3,重要,じゅうよう,important;momentous;essential;principal;major
n3,修理,しゅうり,repairing;mending
n3,主義,しゅぎ,doctrine;rule;principle
n3,宿泊,しゅくはく,lodging
n3,手術,しゅじゅつ,surgical operation
n3,首相,しゅしょう,Prime Minister
n3,手段,しゅだん,means;way;measure
n3,主張,しゅちょう,claim;request;insistence;assertion
n3,出身,しゅっしん,graduate from;come from
n3,出席,しゅっせき,attendance;presence
n3,出発,しゅっぱつ,departure
n3,出版,しゅっぱん,publication
n3,首都,しゅと,capital city
n3,主婦,しゅふ,housewife;mistress
n3,主要,しゅよう,chief;main;principal;major
n3,需要,じゅよう,demand;request
n3,種類,しゅるい,variety;kind;type
n3,順,じゅん,order;turn
n3,瞬間,しゅんかん,moment;second;instant
n3,順調,じゅんちょう,favourable;doing well;O.K.;all right
n3,順番,じゅんばん,turn (in line);order of things
n3,準備,じゅんび,preparation;arrangements;provision;reserve
n3,使用,しよう,use;application;employment;utilization
n3,小,しょう,
n3,章,しょう,(1) chapter;section;(2) medal
n3,賞,しょう,prize;award
n3,上,じょう,(1) first volume;(2) superior quality;(3) governmental
n3,障害,しょうがい,obstacle;impediment (fault);damage
n3,奨学金,しょうがくきん,scholarship
n3,乗客,じょうきゃく,passenger
n3,上京,じょうきょう,proceeding to the capital (Tokyo)
n3,状況,じょうきょう,state of affairs;situation;circumstances
n3,条件,じょうけん,conditions;terms
n3,正午,しょうご,noon;mid-day
n3,正直,しょうじき,honesty;integrity;frankness
n3,常識,じょうしき,common sense
n3,少女,しょうじょ,daughter;young lady;virgin;maiden;little girl
n3,少々,しょうしょう,just a minute;small quantity
n3,症状,しょうじょう,symptoms;condition
n3,生じる,しょうじる,to produce;to yield;to result from;to arise;to be generated
n3,招待,しょうたい,invitation
n3,状態,じょうたい,condition;situation;circumstances;state
n3,上達,じょうたつ,improvement;advance;progress
n3,冗談,じょうだん,jest;joke
n3,承知,しょうち,consent;acceptance;assent;admitting
n3,上等,じょうとう,superiority;first class;very good
n3,衝突,しょうとつ,collision;conflict
n3,商人,しょうにん,trader;shopkeeper;merchant
n3,承認,しょうにん,recognition;acknowledgement;approval;consent;agreement
n3,少年,しょうねん,boys;juveniles
n3,商売,しょうばい,trade;business;commerce;transaction;occupation
n3,消費,しょうひ,consumption;expenditure
n3,商品,しょうひん,commodity;article of commerce;goods;stock;merchandise
n3,消防,しょうぼう,fire fighting;fire department
n3,情報,じょうほう,information;(military) intelligence
n3,証明,しょうめい,proof;verification
n3,女王,じょおう,queen
n3,職,しょく,employment
n3,職業,しょくぎょう,occupation;business
n3,食事,しょくじ,meal
n3,食卓,しょくたく,dining table
n3,食品,しょくひん,commodity;foodstuff
n3,植物,しょくぶつ,plant;vegetation
n3,食物,しょくもつ,food;foodstuff
n3,食欲,しょくよく,appetite (for food)
n3,食料,しょくりょう,food
n3,食糧,しょくりょう,provisions;rations
n3,書斎,しょさい,study
n3,女子,じょし,woman;girl
n3,助手,じょしゅ,helper;helpmeet;assistant;tutor
n3,徐々に,じょじょに,slowly;little by little;gradually;steadily;quietly
n3,署名,しょめい,signature
n3,書物,しょもつ,books
n3,女優,じょゆう,actress
n3,処理,しょり,processing;dealing with;treatment;disposition;disposal
n3,書類,しょるい,documents;official papers
n3,知らせ,しらせ,notice
n3,尻,しり,buttocks;bottom
n3,印,しるし,(1) mark;(2) symbol;(3) evidence
n3,城,しろ,castle
n3,進学,しんがく,going on to university
n3,神経,しんけい,nerve;sensitivity
n3,真剣,しんけん,seriousness;earnestness
n3,信仰,しんこう,(religious) faith;belief;creed
n3,信号,しんごう,traffic lights;signal;semaphore
n3,人工,じんこう,artificial;manmade;human work;human skill;artificiality
n3,深刻,しんこく,serious
n3,診察,しんさつ,medical examination
n3,人種,じんしゅ,race (of people)
n3,信じる,しんじる,to believe;to place trust in
n3,人生,じんせい,(human) life (i.e. conception to death)
n3,親戚,しんせき,relative
n3,新鮮,しんせん,fresh
n3,心臓,しんぞう,heart
n3,身体,しんたい,the body
n3,身長,しんちょう,height (of body);stature
n3,慎重,しんちょう,discretion;prudence
n3,心配,しんぱい,worry;concern;anxiety;care
n3,審判,しんぱん,refereeing;trial;judgement;umpire;referee
n3,人物,じんぶつ,character;personality;person;man;personage;talented man
n3,進歩,しんぽ,progress;development
n3,親友,しんゆう,close friend;buddy
n3,信用,しんよう,confidence;dependence;credit;faith
n3,信頼,しんらい,reliance;trust;confidence
n3,心理,しんり,mentality
n3,人類,じんるい,mankind;humanity
n3,巣,す,nest;rookery;breeding place;beehive;cobweb
n3,図,ず,figure (e.g. Fig 1);drawing;picture;illustration
n3,水準,すいじゅん,(1) water level;(2) level;standard
n3,推薦,すいせん,recommendation
n3,,スイッチ,switch
n3,随分,ずいぶん,extremely
n3,睡眠,すいみん,sleep
n3,数,すう,number;figure
n3,数字,すうじ,numeral;figure
n3,,スープ,(Western) soup
n3,末,すえ,the end of;powder
n3,姿,すがた,figure;shape;appearance
n3,,スキー,skiing
n3,空く,すく,(1) to open;to become empty;(2) to be less crowded
n3,救う,すくう,to rescue from;to help out of
n3,優れる,すぐれる,to surpass;to outstrip;to excel
n3,,スケート,skate(s);skating
n3,,すごい,terrible;dreadful;terrific;amazing;great
n3,少しも,すこしも,anything of;not one bit
n3,過ごす,すごす,to pass;to spend;to go through;to tide over
n3,筋,すじ,muscle;string;line
n3,進める,すすめる,to advance;to promote;to hasten
n3,勧める,すすめる,to recommend;to advise;to encourage;to offer (wine)
n3,,スター,star
n3,,スタイル,style
n3,,スタンド,stand
n3,頭痛,ずつう,headache
n3,,ずっと,consecutively;throughout;a lot
n3,,すてき,lovely;dreamy;beautiful;great
n3,既に,すでに,already;too late
n3,,すなわち,that is;namely;i.e.
n3,素晴らしい,すばらしい,wonderful;splendid;magnificent
n3,,スピーチ,speech
n3,全て,すべて,all;the whole;entirely;in general;wholly
n3,済ませる,すませる,to be finished
n3,角,すみ,horn
n3,すみません,（感）,sorry;excuse me
n3,為る,する,to change;to be of use;to reach to
n3,すると,すると,thereupon;hereupon
n3,鋭い,するどい,pointed;sharp
n3,背,せい,height;stature
n3,正,せい,(logical) true;regular
n3,生,せい,(1) draft (beer);(2) raw;unprocessed
n3,性,せい,sex;gender
n3,所為,せい,cause;reason;fault
n3,税,ぜい,
n3,性格,せいかく,character;personality
n3,正確,せいかく,accurate;punctuality;exactness;authenticity;veracity
n3,世紀,せいき,century;era
n3,請求,せいきゅう,claim;demand;application;request
n3,税金,ぜいきん,tax;duty
n3,清潔,せいけつ,clean
n3,制限,せいげん,restriction;restraint;limitation
n3,成功,せいこう,success;hit
n3,生産,せいさん,production;manufacture
n3,正式,せいしき,due form;official;formality
n3,精神,せいしん,mind;soul;heart;spirit;intention
n3,成人,せいじん,adult
n3,精々,せいぜい,at the most;at best;to the utmost;as much (far) as possible
n3,成績,せいせき,results;record
n3,製造,せいぞう,manufacture;production
n3,贅沢,ぜいたく,luxury;extravagance
n3,成長,せいちょう,growth;grow to adulthood
n3,制度,せいど,system;institution;organization
n3,青年,せいねん,youth;young man
n3,製品,せいひん,manufactured goods;finished goods
n3,政府,せいふ,government;administration
n3,生物,せいぶつ,raw food
n3,生命,せいめい,life;existence
n3,整理,せいり,sorting;arrangement;adjustment;regulation
n3,咳,せき,cough
n3,石炭,せきたん,coal
n3,責任,せきにん,duty;responsibility
n3,石油,せきゆ,oil;petroleum;kerosene
n3,世間,せけん,world;society
n3,説,せつ,theory
n3,積極的,せっきょくてき,positive;active;proactive
n3,設計,せっけい,plan;design
n3,絶対,ぜったい,absolute;unconditional;absoluteness
n3,,セット,set
n3,設備,せつび,equipment;device;facilities;installation
n3,絶滅,ぜつめつ,destruction;extinction
n3,節約,せつやく,economising;saving
n3,是非,ぜひ,certainly;without fail
n3,責める,せめる,to condemn;to blame;to criticize
n3,世話,せわ,looking after;help;aid;assistance
n3,善,ぜん,good;goodness;right;virtue
n3,全,ぜん,all;whole;entire;complete;overall;pan
n3,全員,ぜんいん,all members (unanimity);all hands;the whole crew
n3,専攻,せんこう,major subject;special study
n3,全国,ぜんこく,country-wide;nation-wide;whole country;national
n3,先日,せんじつ,the other day;a few days ago
n3,前者,ぜんしゃ,the former
n3,選手,せんしゅ,(1) player (in game);(2) team
n3,前進,ぜんしん,advance;drive;progress
n3,全然,ぜんぜん,(1) wholly;entirely;completely;(2) not at all (with neg. verb)
n3,,センター,a center
n3,全体,ぜんたい,whole;entirety;whatever (is the matter)
n3,選択,せんたく,selection;choice
n3,そう,そう,so
n3,象,ぞう,elephant
n3,騒音,そうおん,noise
n3,増加,ぞうか,increase;addition
n3,操作,そうさ,operation;management;processing
n3,掃除,そうじ,cleaning;sweeping
n3,想像,そうぞう,imagination;guess
n3,相続,そうぞく,succession;inheritance
n3,相談,そうだん,consultation;discussion
n3,装置,そうち,equipment;installation;apparatus
n3,相当,そうとう,suitable;fair;tolerable;proper
n3,速度,そくど,speed;velocity;rate
n3,そこ,そこ,bottom;sole
n3,底,そこ,bottom;sole
n3,,そこで,so (conj);accordingly;now;then;thereupon
n3,組織,そしき,(1) organization;(2) structure;construction;(3) tissue;(4) system
n3,,そして,and
n3,注ぐ,そそぐ,to pour (into);to irrigate;to pay;to fill;to feed (e.g. a fire)
n3,育つ,そだつ,to raise (child);to be brought up;to grow (up)
n3,,そっくり,all;altogether;entirely;be just like;the splitting image of
n3,,そっと,face of the earth
n3,袖,そで,sleeve
n3,備える,そなえる,to furnish;to provide for;to equip;to install
n3,その,その,the;that
n3,,そのうち,eventually;sooner or later;of the previously mentioned
n3,,そのまま,without change;as it is (i.e. now)
n3,側,そば,side;edge;third person
n3,,ソファー,sofa;couch
n3,粗末,そまつ,crude;rough;plain;humble
n3,それ,（接。感）,it;that
n3,,それぞれ,each;every;either;respectively;severally
n3,,それでも,but (still);and yet;nevertheless;even so;notwithstanding
n3,,それと,
n3,,それとも,or;or else
n3,損,そん,loss;disadvantage
n3,損害,そんがい,damage;injury;loss
n3,尊敬,そんけい,respect;esteem;reverence;honour
n3,存在,そんざい,existence;being
n3,尊重,そんちょう,respect;esteem;regard
n3,田,た,rice field
n3,他,た,other (esp. places and things)
n3,対,たい,pair;couple;set
n3,大,だい,
n3,台,だい,stand;rack;table;support
n3,題,だい,title;subject;theme;topic
n3,体育,たいいく,physical education;gymnastics;athletics
n3,体温,たいおん,temperature (body)
n3,大会,たいかい,convention;tournament;mass meeting;rally
n3,大気,たいき,atmosphere
n3,代金,だいきん,price;payment;cost;charge
n3,退屈,たいくつ,tedium;boredom
n3,滞在,たいざい,stay;sojourn
n3,大使,たいし,ambassador
n3,大した,たいした,considerable;great;important;significant;a big deal
n3,対象,たいしょう,target;object (of worship;study;etc);subject (of taxation;etc)
n3,大臣,だいじん,cabinet minister
n3,対する,たいする,to face;to confront;to oppose
n3,大戦,たいせん,great war;great battle
n3,大抵,たいてい,usually;generally
n3,態度,たいど,attitude;manner
n3,大統領,だいとうりょう,president;chief executive
n3,大半,たいはん,majority;mostly;generally
n3,代表,だいひょう,representative;representation;delegation;type;example;model
n3,大部分,だいぶぶん,most part;greater part;majority
n3,,タイプライター,typewriter
n3,大変,たいへん,awful;dreadful;terrible;very
n3,逮捕,たいほ,arrest;apprehension;capture
n3,,ダイヤ,(1) dyer;(2) diagram;(3) (railway) schedule;(4) diamond
n3,太陽,たいよう,sun;solar
n3,平ら,たいら,flatness;level;smooth;calm;plain
n3,代理,だいり,representation;agency;proxy;deputy;agent
n3,大陸,たいりく,continent
n3,倒す,たおす,to throw down;to beat;to bring down;to blow down
n3,,タオル,(hand) towel
n3,だが,だが,
n3,互い,たがい,mutual;reciprocal
n3,宝,たから,treasure
n3,だから,だから,so;therefore
n3,宅,たく,house;home;husband
n3,,だけど,however
n3,確かめる,たしかめる,to ascertain
n3,多少,たしょう,more or less;somewhat;a little;some
n3,助ける,たすける,to help;to save;to rescue
n3,,ただ,free of charge;mere;only
n3,唯,ただ,free of charge;mere;sole;only;usual;common
n3,戦い,たたかい,battle;fight;struggle;conflict
n3,戦う,たたかう,to fight;to battle;to combat
n3,叩く,たたく,to strike;to clap;to dust;to beat
n3,直ちに,ただちに,at once;immediately;directly;in person
n3,立ち上がる,たちあがる,to stand up
n3,立場,たちば,standpoint;position;situation
n3,経つ,たつ,to pass;to lapse
n3,達する,たっする,to reach;to get to
n3,唯,たった,free of charge;mere;sole;only;usual;common
n3,,だって,but;because;even;also;too
n3,,たっぷり,full;in plenty;ample
n3,縦,たて,length;height
n3,,たとえ,simile;metaphor;allegory
n3,谷,たに,valley
n3,他人,たにん,another person;unrelated person;outsider;stranger
n3,種,たね,(1) seed;(2) material;(3) cause;source
n3,束,たば,handbreadth;bundle
n3,度,たび,counter for occurrences
n3,旅,たび,travel;trip;journey
n3,,たびたび,often;repeatedly;frequently
n3,多分,たぶん,perhaps;probably
n3,玉,たま,ball;sphere;coin
n3,球,たま,globe;sphere;ball
n3,弾,たま,bullet;shot;shell
n3,偶,たま,even number;couple;man and wife;friend
n3,偶々,たまたま,casually;unexpectedly;accidentally;by chance
n3,,たまらない,intolerable;unbearable;unendurable
n3,黙る,だまる,to be silent
n3,駄目,だめ,useless;no good;hopeless
n3,試し,ためし,trial;test
n3,試す,ためす,to attempt;to test
n3,便り,たより,news;tidings;information;correspondence;letter
n3,頼る,たよる,to rely on;to have recourse to;to depend on
n3,誰か,だれか,someone;somebody
n3,段,だん,step;stair;flight of steps;grade;rank;level
n3,単位,たんい,unit;denomination;credit (in school)
n3,単語,たんご,word;vocabulary;(usually) single-character word
n3,男子,だんし,youth;young man
n3,単純,たんじゅん,simplicity
n3,誕生,たんじょう,birth
n3,,ダンス,dance
n3,団体,だんたい,organization;association
n3,担当,たんとう,(in) charge
n3,単なる,たんなる,mere;simple;sheer
n3,単に,たんに,simply;merely;only;solely
n3,地,ち,earth
n3,地位,ちい,(social) position;status
n3,地域,ちいき,area;region
n3,,チーズ,cheese
n3,,チーム,team
n3,知恵,ちえ,wisdom;wit;sagacity;sense;intelligence;advice
n3,地下,ちか,basement;underground
n3,違い,ちがい,difference;discrepancy
n3,違いない,ちがいない,(phrase) sure;no mistaking it;for certain
n3,近頃,ちかごろ,lately;recently;nowadays
n3,地球,ちきゅう,the earth
n3,地区,ちく,district;section;sector
n3,遅刻,ちこく,lateness;late coming
n3,知事,ちじ,prefectural governor
n3,知識,ちしき,knowledge;information
n3,父親,ちちおや,father
n3,知能,ちのう,intelligence;brains
n3,地平線,ちへいせん,horizon
n3,地方,ちほう,area;locality;district;region;the coast
n3,茶,ちゃ,tea
n3,,チャンス,chance;opportunity
n3,,ちゃんと,perfectly;properly;exactly
n3,中,ちゅう,inside;middle;among
n3,注,ちゅう,annotation;explanatory note
n3,中央,ちゅうおう,centre;central;center;middle
n3,中学,ちゅうがく,middle school;junior high school
n3,中古,ちゅうこ,(1) used;second-hand;old
n3,中止,ちゅうし,suspension;stoppage;discontinuance;interruption
n3,駐車,ちゅうしゃ,parking (e.g. car)
n3,昼食,ちゅうしょく,lunch;midday meal
n3,中心,ちゅうしん,center;core;heart;pivot;emphasis;balance
n3,注目,ちゅうもく,notice;attention;observation
n3,注文,ちゅうもん,order;request
n3,長期,ちょうき,long time period
n3,調査,ちょうさ,investigation;examination;inquiry;survey
n3,調子,ちょうし,tune;tone;key
n3,頂上,ちょうじょう,top;summit;peak
n3,,ちょうだい,(1) please do for me (preceded by -te);(2) reception;being given;get
n3,貯金,ちょきん,(bank) savings
n3,直接,ちょくせつ,direct;immediate;personal;firsthand
n3,著者,ちょしゃ,author;writer
n3,遂に,ついに,finally;at last
n3,通過,つうか,passage through;passing
n3,通学,つうがく,commuting to school
n3,通行,つうこう,passage;passing
n3,通じる,つうじる,to run to;to lead to;to communicate;to understand
n3,通信,つうしん,correspondence;communication;news;signal
n3,捕まる,つかまる,to be caught;to be arrested
n3,掴む,つかむ,to seize;to catch;to grasp
n3,疲れ,つかれ,tiredness;fatigue
n3,月,つき,moon;month
n3,付き合い,つきあい,association;socializing;fellowship
n3,次々,つぎつぎ,in succession;one by one
n3,就く,つく,to settle in (place);to take (seat;position);to study (under teacher)
n3,注ぐ,つぐ,to pour (into);to irrigate;to pay
n3,付ける,つける,to attach;to join;to add;to append
n3,土,つち,earth;soil
n3,続き,つづき,sequel;continuation
n3,包み,つつみ,bundle;package;parcel;bale
n3,勤め,つとめ,(1) service;duty;business;responsibility;task;(2) Buddhist religious services
n3,務め,つとめ,(1) service;duty;(2) Buddhist religious services
n3,繋ぐ,つなぐ,to tie;to fasten;to connect;to transfer (phone call)
n3,常に,つねに,always;constantly
n3,翼,つばさ,wings
n3,,つまり,in short;in brief;in other words
n3,罪,つみ,crime;fault;indiscretion
n3,詰める,つめる,to pack;to shorten;to work out (details)
n3,積もる,つもる,to pile up
n3,梅雨,つゆ,rainy season;rain during the rainy season
n3,辛い,つらい,painful;heart-breaking
n3,釣,つり,
n3,連れ,つれ,companion;company
n3,,で,outflow;coming (going) out;graduate (of)
n3,出会い,であい,meeting;rendezvous;encounter
n3,出会う,であう,to meet by chance;to come across;to happen to encounter
n3,提案,ていあん,proposal;proposition;suggestion
n3,定期,ていき,fixed term
n3,抵抗,ていこう,electrical resistance;resistance;opposition
n3,提出,ていしゅつ,presentation;submission;filing
n3,程度,ていど,degree;amount;grade;standard;of the order of (following a number)
n3,停留所,ていりゅうじょ,bus or tram stop
n3,,デート,date;go on a date
n3,敵,てき,enemy;rival
n3,出来事,できごと,incident;affair;happening;event
n3,適する,てきする,to fit;to suit
n3,適切,てきせつ,pertinent;appropriate;adequate;relevance
n3,適度,てきど,moderate
n3,適用,てきよう,applying
n3,できる,（可能。出現。発生）,to be able to;to be ready;to occur
n3,出来るだけ,できるだけ,if at all possible
n3,,できれば,
n3,手品,てじな,sleight of hand;conjuring trick;magic;juggling
n3,,ですから,therefore
n3,鉄,てつ,iron
n3,哲学,てつがく,philosophy
n3,手伝い,てつだい,help;helper;assistant
n3,徹底,てってい,thoroughness;completeness
n3,鉄道,てつどう,railroad
n3,徹夜,てつや,all night;all night vigil;sleepless night
n3,では,では,chance of going out;opportunity (to succeed);moment of departure;beginning of work
n3,手間,てま,time;labour
n3,でも,でも,but;however
n3,,デモ,(abbr) demo;demonstration
n3,典型,てんけい,type;pattern;archetypal
n3,天候,てんこう,weather
n3,電子,でんし,electron
n3,,テント,tent
n3,伝統,でんとう,tradition;convention
n3,天然,てんねん,nature;spontaneity
n3,度,ど,counter for occurrences
n3,問い,とい,question;query
n3,党,とう,party (political)
n3,塔,とう,tower;pagoda
n3,どう,（接。副）,child;servant;foolishness
n3,答案,とうあん,examination paper;examination script
n3,同一,どういつ,identity;sameness;similarity
n3,,どうか,copper coin
n3,当時,とうじ,at that time;in those days
n3,動詞,どうし,verb
n3,同時,どうじ,simultaneous(ly);concurrent;same time;synchronous
n3,,どうしても,by all means;at any cost;no matter what
n3,到着,とうちゃく,arrival
n3,道徳,どうとく,morals
n3,投票,とうひょう,voting;poll
n3,同様,どうよう,identical;equal to;same (kind);like
n3,同僚,どうりょう,coworker;colleague;associate
n3,道路,どうろ,road;highway
n3,十,とお,10;ten
n3,通す,とおす,to let pass;to overlook;to continue
n3,通り,とおり,in accordance with ~;following ~;~ Street;~ Avenue
n3,通り過ぎる,とおりすぎる,to pass;to pass through
n3,都会,とかい,city
n3,時,とき,(1) time;hour;(2) occasion;moment
n3,解く,とく,to unfasten
n3,毒,どく,poison;toxicant
n3,得意,とくい,pride;triumph;prosperity
n3,読書,どくしょ,reading
n3,独身,どくしん,bachelorhood;single;unmarried;celibate
n3,特徴,とくちょう,feature;characteristic
n3,独特,どくとく,peculiarity;uniqueness;characteristic
n3,独立,どくりつ,independence (e.g. Ind. Day);self-support
n3,解ける,とける,to come untied;to come apart
n3,,どこか,somewhere;anywhere
n3,,ところが,however;while;even if
n3,,ところで,by the way;even if;no matter what
n3,登山,とざん,mountain-climbing
n3,都市,とし,town;city;municipal;urban
n3,年月,としつき,months and years
n3,図書,としょ,books
n3,年寄,としより,old people;the aged
n3,閉じる,とじる,to close (e.g. book;eyes);to shut
n3,途端,とたん,just (now;at the moment;etc.)
n3,土地,とち,plot of land;lot;soil
n3,突然,とつぜん,abruptly;suddenly;unexpectedly;all at once
n3,,トップ,top
n3,届く,とどく,to reach
n3,,とにかく,anyhow;at any rate;anyway;somehow or other;generally speaking;in any case
n3,飛ばす,とばす,to skip over;to omit
n3,飛び出す,とびだす,to jump out;to rush out;to fly out
n3,留める,とめる,to fasten;to turn off;to detain
n3,友,とも,friend;companion;pal
n3,共に,ともに,sharing with;participate in
n3,土曜,どよう,Saturday
n3,虎,とら,tiger
n3,,ドライブ,drive;trip by car;driving
n3,,トラック,(1) truck;(2) (running) track
n3,,ドラマ,drama
n3,,トランプ,playing cards (lit: trump)
n3,取り上げる,とりあげる,to take up;to pick up;to disqualify;to confiscate;to deprive
n3,努力,どりょく,great effort;exertion;endeavour;effort
n3,どれ,どれ,well;now;let me see;which (of three or more)
n3,,ドレス,dress
n3,取れる,とれる,to come off;to be taken off;to be removed
n3,泥,どろ,mud
n3,とん,（1000,ton
n3,,とんでもない,unexpected;offensive;What a thing to say!;No way!
n3,,どんな,what;what kind of
n3,,どんなに,how;how much
n3,,トンネル,tunnel
n3,名,な,name;reputation
n3,内容,ないよう,subject;contents;matter;substance;detail;import
n3,,なお,straight;mischief;ordinary;common
n3,仲,なか,relation;relationship
n3,流す,ながす,to drain;to float;to shed (blood;tears);to cruise (e.g. taxi)
n3,,なかなか,very;considerably;easily
n3,半ば,なかば,middle;half;semi;halfway;partly
n3,仲間,なかま,company;fellow;colleague;associate
n3,眺め,ながめ,scene;view;prospect;outlook
n3,眺める,ながめる,to view;to gaze at
n3,流れ,ながれ,stream;current
n3,流れる,ながれる,to stream;to flow;to run (ink);to be washed away
n3,無し,なし,without
n3,,なぜなら,because
n3,謎,なぞ,riddle;puzzle;enigma
n3,納得,なっとく,consent;assent;understanding
n3,等,など,et cetera;etc.;and the like
n3,七,なな,seven
n3,何,なに,what
n3,何,なん,what
n3,何か,なにか,something
n3,,なにも,nothing
n3,鍋,なべ,saucepan;pot
n3,生,なま,(1) draft (beer);(2) raw;unprocessed
n3,怠ける,なまける,to be idle;to neglect
n3,波,なみ,wave
n3,涙,なみだ,tear
n3,悩む,なやむ,to be worried;to be troubled
n3,為る,なる,to change;to be of use;to reach to
n3,成る,なる,to become
n3,縄,なわ,rope;hemp
n3,何で,なんで,Why?;What for?
n3,何でも,なんでも,by all means;everything
n3,何とか,なんとか,somehow;anyhow;one way or another
n3,似合う,にあう,to suit;to match;to become;to be like
n3,匂い,におい,odour;scent;smell;stench
n3,苦手,にがて,poor (at);weak (in);dislike (of)
n3,握る,にぎる,to grasp;to seize;to mould sushi
n3,日,にち,sun;sunshine;day
n3,日常,にちじょう,ordinary;regular;everyday;usual
n3,日曜,にちよう,Sunday
n3,日光,にっこう,sunlight
n3,日中,にっちゅう,daytime;broad daylight
n3,,にっこり,smile sweetly;smile;grin
n3,日本,にっぽん,Japan
n3,日本,にほん,Japan
n3,入院,にゅういん,hospitalization
n3,入学,にゅうがく,entry to school or university;matriculation
n3,入場,にゅうじょう,entrance;admission;entering
n3,人気,にんき,sign of life
n3,人間,にんげん,human being;man;person
n3,抜く,ぬく,to extract;to omit;to surpass;to draw out;to unplug
n3,抜ける,ぬける,to come out;to fall out;to be omitted
n3,布,ぬの,cloth
n3,濡れる,ぬれる,to get wet
n3,ね,（感）,value;price;cost;worth;merit
n3,根,ね,root
n3,値,ね,value;price;cost
n3,願い,ねがい,desire;wish;request
n3,願う,ねがう,to desire;to wish;to request
n3,鼠,ねずみ,(1) mouse;rat;(2) dark gray;slate color
n3,値段,ねだん,price;cost
n3,熱心,ねっしん,zeal;enthusiasm
n3,熱帯,ねったい,tropics
n3,熱中,ねっちゅう,nuts!;enthusiasm;zeal;mania
n3,年間,ねんかん,year
n3,年月,ねんげつ,months and years
n3,年中,ねんじゅう,whole year;always;everyday
n3,年代,ねんだい,age;era;period;date
n3,年齢,ねんれい,age;years
n3,野,の,field
n3,能,のう,being skilled in;nicely;properly
n3,農家,のうか,farmer;farm family
n3,農業,のうぎょう,agriculture
n3,農民,のうみん,farmers;peasants
n3,能力,のうりょく,ability;faculty
n3,ノー,（no）,
n3,軒,のき,eaves
n3,残す,のこす,to leave (behind;over);to bequeath;to save;to reserve
n3,残り,のこり,remnant;residue;remaining;left-over
n3,乗せる,のせる,to place on (something);to take on board;to give a ride
n3,除く,のぞく,to remove;to exclude;to except
n3,望み,のぞみ,wish;desire;(a) hope
n3,望む,のぞむ,to desire;to wish for;to see;to command (a view of)
n3,後,のち,afterwards;since then;in the future
n3,,ノック,(1) knock;(2) fungo (baseball)
n3,喉,のど,throat
n3,伸ばす,のばす,to lengthen;to stretch;to reach out;to grow (beard)
n3,伸びる,のびる,to stretch;to extend;to make progress;to grow (beard;body height)
n3,述べる,のべる,to state;to express;to mention
n3,昇る,のぼる,to arise;to ascend;to go up
n3,,のんびり,carefree;at leisure
n3,場,ば,place;field (physics)
n3,はあ,（感）,
n3,,パーセント,percent
n3,はい,（感）,wear;put on (sword)
n3,灰,はい,ash
n3,梅雨,ばいう,rainy season;rain during the rainy season
n3,,バイオリン,violin
n3,,ハイキング,hiking
n3,配達,はいたつ,delivery;distribution
n3,,パイプ,(1) pipe;tube;(2) channels;official or otherwise
n3,俳優,はいゆう,actor;actress;player;performer
n3,,パイロット,pilot
n3,墓,はか,grave;tomb
n3,馬鹿,ばか,fool;idiot;trivial matter;folly
n3,博士,はかせ,doctorate;PhD
n3,計る,はかる,to measure;to weigh;to survey
n3,履く,はく,to wear;to put on (lower body)
n3,吐く,はく,(1) to breathe;(2) to tell (lies);(3) to vomit;to disgorge
n3,拍手,はくしゅ,clapping hands;applause
n3,莫大,ばくだい,enormous;vast
n3,爆発,ばくはつ,explosion;detonation;eruption
n3,博物館,はくぶつかん,museum
n3,激しい,はげしい,violent;vehement;intense
n3,,はさみ,scissors
n3,破産,はさん,(personal) bankruptcy
n3,端,はし,end (e.g. of street);edge;tip;margin;point
n3,始まり,はじまり,origin;beginning
n3,,パス,path;pass (in games)
n3,外す,はずす,to unfasten;to remove
n3,,パスポート,passport
n3,旗,はた,flag
n3,肌,はだ,skin
n3,裸,はだか,naked;nude
n3,畑,はたけ,field
n3,二十,はたち,20 years old;20th year
n3,働き,はたらき,work;labor
n3,,バッグ,bag;bug
n3,発見,はっけん,discovery;detection;finding
n3,発行,はっこう,issue (publications)
n3,発車,はっしゃ,departure of a vehicle
n3,罰する,ばっする,to punish;to penalize
n3,発達,はったつ,development;growth
n3,,ばったり,with a clash (thud);with a bang;plump;flop
n3,発展,はってん,development;growth
n3,発表,はっぴょう,announcement;publication
n3,発明,はつめい,invention
